"트렌드","검색량","시작일","종료","트렌드 분석","탐색 링크"
"심우준","1만+","2024년 11월 7일 오전 9시 20분 0초 UTC+9",,"심우준,하주석","https://trends.google.co.kr/trends/explore?q=%EC%8B%AC%EC%9A%B0%EC%A4%80&geo=KR&hl=ko"
"윤석열 기자회견","1만+","2024년 11월 7일 오전 7시 20분 0초 UTC+9",,"윤석열 기자회견,윤석열,김건희,윤석열 대국민 담화,대통령 기자회견,대국민담화,대통령 담화,기자회견,윤석열 담화,ytn 실시간,윤석열 임기,경향신문","https://trends.google.co.kr/trends/explore?q=%EC%9C%A4%EC%84%9D%EC%97%B4%20%EA%B8%B0%EC%9E%90%ED%9A%8C%EA%B2%AC&geo=KR&hl=ko"
"엄상백","1천+","2024년 11월 7일 오전 11시 40분 0초 UTC+9",,"엄상백","https://trends.google.co.kr/trends/explore?q=%EC%97%84%EC%83%81%EB%B0%B1&geo=KR&hl=ko"
"9800x3d","2천+","2024년 11월 6일 오후 11시 0분 0초 UTC+9",,"9800x3d","https://trends.google.co.kr/trends/explore?q=9800x3d&geo=KR&hl=ko"
"psg 대 아틀레티코","2만+","2024년 11월 7일 오전 4시 0분 0초 UTC+9","2024년 11월 7일 오후 8시 30분 0초 UTC+9","psg 대 아틀레티코,파리생제르망","https://trends.google.co.kr/trends/explore?q=psg%20%EB%8C%80%20%EC%95%84%ED%8B%80%EB%A0%88%ED%8B%B0%EC%BD%94&geo=KR&hl=ko"
"바이에른 대 벤피카","2만+","2024년 11월 7일 오전 4시 0분 0초 UTC+9","2024년 11월 7일 오후 8시 40분 0초 UTC+9","바이에른 대 벤피카,챔피언스리그,김민재","https://trends.google.co.kr/trends/explore?q=%EB%B0%94%EC%9D%B4%EC%97%90%EB%A5%B8%20%EB%8C%80%20%EB%B2%A4%ED%94%BC%EC%B9%B4&geo=KR&hl=ko"
"아케인","1천+","2024년 11월 7일 오후 7시 40분 0초 UTC+9",,"아케인,아케인 시즌2","https://trends.google.co.kr/trends/explore?q=%EC%95%84%EC%BC%80%EC%9D%B8&geo=KR&hl=ko"
"푸이그","1천+","2024년 11월 7일 오후 12시 30분 0초 UTC+9",,"푸이그","https://trends.google.co.kr/trends/explore?q=%ED%91%B8%EC%9D%B4%EA%B7%B8&geo=KR&hl=ko"
"인테르 대 아스널","1만+","2024년 11월 7일 오전 4시 0분 0초 UTC+9","2024년 11월 7일 오후 8시 40분 0초 UTC+9","인테르 대 아스널","https://trends.google.co.kr/trends/explore?q=%EC%9D%B8%ED%85%8C%EB%A5%B4%20%EB%8C%80%20%EC%95%84%EC%8A%A4%EB%84%90&geo=KR&hl=ko"
"츠르베나 즈베즈다 대 바르셀로나","2만+","2024년 11월 7일 오전 4시 0분 0초 UTC+9","2024년 11월 7일 오후 8시 10분 0초 UTC+9","츠르베나 즈베즈다 대 바르셀로나","https://trends.google.co.kr/trends/explore?q=%EC%B8%A0%EB%A5%B4%EB%B2%A0%EB%82%98%20%EC%A6%88%EB%B2%A0%EC%A6%88%EB%8B%A4%20%EB%8C%80%20%EB%B0%94%EB%A5%B4%EC%85%80%EB%A1%9C%EB%82%98&geo=KR&hl=ko"
"fomc","1천+","2024년 11월 6일 오후 11시 20분 0초 UTC+9",,"fomc","https://trends.google.co.kr/trends/explore?q=fomc&geo=KR&hl=ko"
"칼바람","200+","2024년 11월 7일 오후 4시 0분 0초 UTC+9",,"칼바람","https://trends.google.co.kr/trends/explore?q=%EC%B9%BC%EB%B0%94%EB%9E%8C&geo=KR&hl=ko"
"이동진","1천+","2024년 11월 6일 오후 11시 10분 0초 UTC+9",,"이동진","https://trends.google.co.kr/trends/explore?q=%EC%9D%B4%EB%8F%99%EC%A7%84&geo=KR&hl=ko"
"여에스더","1천+","2024년 11월 6일 오후 11시 10분 0초 UTC+9",,"여에스더","https://trends.google.co.kr/trends/explore?q=%EC%97%AC%EC%97%90%EC%8A%A4%EB%8D%94&geo=KR&hl=ko"
"바람의 나라 클래식","200+","2024년 11월 7일 오후 9시 0분 0초 UTC+9",,"바람의 나라 클래식","https://trends.google.co.kr/trends/explore?q=%EB%B0%94%EB%9E%8C%EC%9D%98%20%EB%82%98%EB%9D%BC%20%ED%81%B4%EB%9E%98%EC%8B%9D&geo=KR&hl=ko"
"김소현","500+","2024년 11월 6일 오후 11시 30분 0초 UTC+9",,"김소현","https://trends.google.co.kr/trends/explore?q=%EA%B9%80%EC%86%8C%ED%98%84&geo=KR&hl=ko"
"호서대","2천+","2024년 11월 7일 오전 7시 50분 0초 UTC+9","2024년 11월 7일 오후 7시 30분 0초 UTC+9","호서대,호서대학교","https://trends.google.co.kr/trends/explore?q=%ED%98%B8%EC%84%9C%EB%8C%80&geo=KR&hl=ko"
